date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:08	34157/34157	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Nov%202024%2003:12:08%20GMT	http://www.mahaecostay.com/blueroom.php	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/blueroom.html	(from )
08:42:09	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%225e452f6-26f1b-6264c86dedf1b-gzip%22	http://www.mahaecostay.com/css/bootstrap.min.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/bootstrap.min.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:10	25252/25252	---M-Z	200	added ('OK')	text/css	etag:%225e452f7-62a4-6264c86db397e-gzip%22	http://www.mahaecostay.com/css/elegant-icons.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/elegant-icons.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:11	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225e4530a-d17-6264c873c68fd-gzip%22	http://www.mahaecostay.com/css/owl.carousel.min.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/owl.carousel.min.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:11	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%225e452fb-fa7-6264c87289e77-gzip%22	http://www.mahaecostay.com/css/nice-select.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/nice-select.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:12	32076/32076	---M-Z	200	added ('OK')	text/css	etag:%225e45311-7d4c-6264c8707859b-gzip%22	http://www.mahaecostay.com/css/jquery-ui.min.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/jquery-ui.min.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:13	2505/2505	---M-Z	200	added ('OK')	text/css	etag:%225e45315-9c9-6264c8750105c-gzip%22	http://www.mahaecostay.com/css/slicknav.min.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/slicknav.min.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:13	51162/51162	---M-Z	200	added ('OK')	text/css	etag:%225e4531e-c7da-6264c875d6299-gzip%22	http://www.mahaecostay.com/css/style.css	F:/Projects/Website%20downloads/pgwebsite/www.mahaecostay.com/css/style.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:13	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	F:/Projects/Website%20downloads/pgwebsite/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from http://www.mahaecostay.com/blueroom.php)
08:42:13	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	F:/Projects/Website%20downloads/pgwebsite/code.jquery.com/jquery-3.3.1.slim.min.js	(from http://www.mahaecostay.com/blueroom.php)
08:42:14	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	F:/Projects/Website%20downloads/pgwebsite/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from http://www.mahaecostay.com/blueroom.php)
